video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country,classementCountry
Mr20ag4K_OE,【あやなんsキッチン】妊娠9ヶ月に可愛いチーズケーキ作ってみたら貧血でオワッタww,2020-09-01T10:00:15Z,UColoXxvhfz54o0icqQRPzYw,しばなんチャンネル,24,20.09.09,しばゆー|あやなん|ポンス|しばなん|しばなんチャンネル|東海オンエア|キッズチャンネル|子どもが喜ぶ|ダンス|踊り|歌|ピアノ|新婚|カップル|ドッキリ|モニタリング|高校生|妊娠,1240940,31729,1447,2511,https://i.ytimg.com/vi/Mr20ag4K_OE/default.jpg,False,JP,165
rPE9n2OkvaE,香水／DJ銀太,2020-09-01T10:01:55Z,UC3eTZ5Yld6qufD6rtEiERdw,レペゼン地球【公式】,24,20.09.09,香水|歌ってみた|瑛人|ダンサー|モーニングルーティン|ナイトルーティン,2532421,71574,3491,7873,https://i.ytimg.com/vi/rPE9n2OkvaE/default.jpg,False,JP,166
_1v1yEqK1dY,「ぷっちょの歌 永瀬さん」篇,2020-09-02T01:00:16Z,UCS3qzX-Y0y_X8AWkt379ZWA,UHA味覚糖公式チャンネル,24,20.09.09,[none],461372,0,0,0,https://i.ytimg.com/vi/_1v1yEqK1dY/default.jpg,True,JP,167
gfOPuXfM9Mc,不良「俺、空手黒帯なの」転校生「早く言ってよ。本気でいくね」不良「へ？」→衝撃の展開に→転校生の正体は…【スカッと】【漫画】,2020-09-02T09:50:01Z,UC_itKts63M4SXxGt5bD-T4Q,マンガ戦隊スカッとレンジャーZ,24,20.09.09,まんが|マンガ|漫画|スカっと|スカっと漫画|パラノーマルライブラリ|感動,258283,1969,149,307,https://i.ytimg.com/vi/gfOPuXfM9Mc/default.jpg,False,JP,168
Rq3CmwL8wO0,最近傷ついた事でも話しながら準備しよかな,2020-09-01T10:05:36Z,UCm-m76oSXXj41CUxDwUeF4Q,古川優香,26,20.09.09,[none],884949,17355,932,2195,https://i.ytimg.com/vi/Rq3CmwL8wO0/default.jpg,False,JP,169
5RGERPUISCI,台風10号「特別警報級」の勢力で週末上陸のおそれ,2020-09-02T03:05:36Z,UC6AG81pAkf6Lbi_1VC5NmPA,TBS NEWS,25,20.09.09,TBS|NEWS|ニュース|TBSNEWS|台風|台風9号|台風10号|特別警報級|伊勢湾台風|最大級の警戒,759874,1635,206,1451,https://i.ytimg.com/vi/5RGERPUISCI/default.jpg,False,JP,170
7eOwFaL5LaE,仕上げにオールバックする美容師の1日【日常を撮る奴】,2020-09-01T11:00:27Z,UCf-wG6PlxW7rpixx1tmODJw,ジャルジャルアイランド JARUJARU ISLAND,23,20.09.09,日常撮る奴,729768,17656,331,2680,https://i.ytimg.com/vi/7eOwFaL5LaE/default.jpg,False,JP,171
08oBwWDSzyM,お騒がせしてしまった件について,2020-09-01T09:00:01Z,UClPLW-9Nfbvf76ksj-4c1kQ,ねおチャンネル,22,20.09.09,ねお|YouTuber|NEO|neo|Popteen|tiktok|tiktoker,1593793,74200,2357,5054,https://i.ytimg.com/vi/08oBwWDSzyM/default.jpg,False,JP,172
6v67XXg6J84,【前編】BiSHモモコグミカンパニー「しりとりトークSHOW」【変な司会者の奴】,2020-09-02T11:00:13Z,UCf-wG6PlxW7rpixx1tmODJw,ジャルジャルアイランド JARUJARU ISLAND,23,20.09.09,[none],138792,3460,65,744,https://i.ytimg.com/vi/6v67XXg6J84/default.jpg,False,JP,173
XsAj6XchjQw,アムロ決めじゃんけん,2020-09-02T13:28:49Z,UCynIYcsBwTrwBIecconPN2A,東海オンエアの控え室,23,20.09.09,[none],993853,17797,368,1746,https://i.ytimg.com/vi/XsAj6XchjQw/default.jpg,False,JP,174
o5gFFmhxx80,『サクラ革命 ～華咲く乙女たち～ 』スペシャルアニメ,2020-09-02T11:30:01Z,UCVkqs_Q88BDmyaWwjYJ8_Ig,SEGA,20,20.09.09,SEGA|セガ,237380,5483,241,713,https://i.ytimg.com/vi/o5gFFmhxx80/default.jpg,False,JP,175
ELEmXR38ZRY,体重3桁デブが寝起きで韓国料理を爆食するwww,2020-09-02T09:18:09Z,UClCGEaWmWaau2f7ZAdzE0QA,じんじんちゃんねる,22,20.09.09,韓国|韓国料理|KPOP|TWICE|韓流|大食い|デブ|モッパン|ASMR|梨泰院クラス|パクセロイ|チョイソ|早食い|ダイエット|食べる|寝起き,187116,6390,590,795,https://i.ytimg.com/vi/ELEmXR38ZRY/default.jpg,False,JP,176
HVXsW2Op-ig,釣り・車中泊用のエブリイ完成！ロッドホルダーやベッド、作業台の取り付け,2020-09-02T13:03:26Z,UC_LZ1eU2sZfxUq_iyQyYR9w,わっさむチャンネル,24,20.09.09,わっさむチャンネル|車中泊|エブリイ|ロッドホルダー|ベッド|イレクターパイプ,254988,5749,139,638,https://i.ytimg.com/vi/HVXsW2Op-ig/default.jpg,False,JP,177
zcuYlAviBZA,【はなわ家の晩ご飯】ご飯がススム！はなわ家サイズ！巨大マダイにうんまっ！大連発！【お魚の日】【真鯛】,2020-09-02T09:00:22Z,UCLwK1tQzsFD8AUlYylNuwug,はなわチャンネル,22,20.09.09,家族|はなわ家族|大食い|大食いチャレンジ|飯テロ|元輝|はなわ|はなわさん兄弟|柔道一家|柔道|judo|デカ盛り|ご飯|家族ご飯,397993,7374,327,388,https://i.ytimg.com/vi/zcuYlAviBZA/default.jpg,False,JP,178
p9BeVt1aHR0,リスナーから募集した「夏休みの思い出」がヤバすぎたwww,2020-09-02T11:00:11Z,UCmK1vT38RSrYYYfmzREo7lw,こーく-半透明-,24,20.09.09,こーく|こーく不透明|ツッコミ|ツッコミ動画|あるある|Twitter|スマイリー|ツッコミどころ,138806,10854,57,477,https://i.ytimg.com/vi/p9BeVt1aHR0/default.jpg,False,JP,179
2bTqwUTmNHM,【簡単垢抜け術】最近ハマっとるピンクブラウンでデートメイクしたらめっちゃ盛れた！【縛りメイク】,2020-09-01T09:30:00Z,UC2656chrY5MdTQO2_II7yRg,まあたその「ほぼメインチャンネル」,22,20.09.09,[none],707496,22264,500,1786,https://i.ytimg.com/vi/2bTqwUTmNHM/default.jpg,False,JP,180
l6yzZdHruUI,IONIQ x BTS - IONIQ: Im on it Official M/V,2020-09-02T02:00:05Z,UC5f97D60yHa7UE9rFfbej8g,HyundaiWorldwide,2,20.09.09,#IONIQ|#IONIQxBTS|#BTSxIONIQ|#Hyundai|#MusicVideo|#Official|#BTSxHyundai|#HyundaixBTS|#HyundaiPresents|#Ioniqelectric|#HyundaiIONIQ|#Hybrid|#PlugIn|#HyundaiElectric|#Electric|#mobility|#new|#lifestyle|#Premium|#Electricvehicle|#CleanMobility|#JungKook|#Jin|#j-hope|#jhope|#RM|#SUGA|#Jimin|#V|#BTSMusicVideo|#BTSFilm|#BTS|#방탄소년단|#MV|#BTSCommercials|#BigHit|#information|#film|#Future|#Review|#subscribe|#BTSAD|#BTSpurplecar|#bangtanboys|#bangtan|#bts_twt|#kpop|#btsarmy|#btsofficial|#btsfunny|#car,14838582,1375824,6447,45260,https://i.ytimg.com/vi/l6yzZdHruUI/default.jpg,False,JP,181
