video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country,classementCountry
mCJ0PFDJd3o,برنامج قلبي اطمأن | حلقة خاصة عن طبيب الغلابة | تستمر الحياة,2020-09-04T11:00:11Z,UCTYNerRYjdiyRNR6LgRmOOQ,Qalby Etmaan - قلبي اطمأن,29,20.09.09,اطمأن قلبي|قلبي اطمان|برنامج اطمأن قلبي|قلبى اطمأن برنامج|قلبي اطمئن|qalbyetmaan|قلبي اطمأن 2|قلبي اطمأن|qalby|غيث الاماراتي|قلبي اطمأن رمضان ٢٠١٩|الموسم الإكسترا|غيث الحلقة 2|برنامج قلبي اطمأن|برنامج قلبي اطمأن 2019|ليطمئن قلبي|شاب مجهول|شاب خليجي|رمضان 2019|برامج رمضان 2019|برنامج رمضان 2019|افضل برنامج رمضان 2019|احلى برنامج في رمضان|رمضان 2020|رمضان جانا|خليك بالبيت|برنامج قلبي اطمأن 2020|قلبي اطمأن رمضان 2020|برنامج غيث قلبي اطمأن 2020,561571,51710,635,3813,https://i.ytimg.com/vi/mCJ0PFDJd3o/default.jpg,False,MA,100
LcJ5TzYrggc,مسلسل قوت القلوب - قوت ضربت بنتها علقة موت عشان عرفت إنها السبب في فضيحة سحر,2020-09-07T20:52:56Z,UCWuj6cpZL_T1U508Y082u3g,AlHayah TV Network,24,20.09.09,مسلسل قوت القلوب - قوت ضربت بنتها علقة موت عشان عرفت إنها السبب في فضيحة سحر|قوت القلوب|مسلسل قوت القلوب|مسلسل ماجدة زكي|ماجدة ذكى|قوت القلوب 1|قوت القلوب الخلقة الاولى|مسلسل قوت القلوب حلقة 1|واتش ات|watchit|قناة الحياة|مشاهدة قناة الحياة|قناة الحياة بث مباشر|قناة الحياة اون لاين|قناة الحياة لايف استريم|برامج قناة الحياة|شبكة تليفزيون قنوات الحياة|قناة الحياة 1|قناة الحياة 2|قناة الحياة الحمرا|Alhayah tv network|alhayah channel,82165,1326,48,70,https://i.ytimg.com/vi/LcJ5TzYrggc/default.jpg,False,MA,101
Q4Ujdh9ZlyA,رسالة عبد العزيز الستاتي لمحبيه وأصدقائه شكرا لكم,2020-09-02T13:54:00Z,UChmaHxgRVM_Z5obfTd6tJAg,Stati Edition,10,20.09.09,[none],631238,11745,1762,1625,https://i.ytimg.com/vi/Q4Ujdh9ZlyA/default.jpg,False,MA,102
uyHi1FSuGkQ,Messi: Why I am staying at Barcelona despite heartbreak,2020-09-04T17:39:51Z,UCjVd6vTuoAYLFYvX5TSK1aA,Goal,17,20.09.09,football|goal|news|soccer|bpl|barcelona|lionel messi|messi future|where is messi going?|will messi leave barcelona?|fc barcelona|messi barcelona|Lionel Messi Barcelona future|future transfer|Leo Messi|FCB|LaLiga|la liga|Will Messi Leave?|Exclusive Interview|exclusive|interview|Lionel Messi interview,3788450,164236,3054,15235,https://i.ytimg.com/vi/uyHi1FSuGkQ/default.jpg,False,MA,103
crUPsqRQaOo,شوف الرد المثالي على سؤال أنتي ماتجوزتيش ليه من منة شلبي #SNL4_بالعربي,2020-09-05T22:15:01Z,UCIAeQiNoobuTYW2TlfomGsA,TVision,24,20.09.09,SNL Arabia SNLArabia|TVision for media production|UCIAe|TVision|T Vision|قناة تي فيجن|طارق الجنايني|Saturday Night LIVe|SNL بالعربي|Saturday Night Live بالعربي|SNL ARABIA|SNL|برنامج snl بالعربي|ابطال SNL بالعربي|اسكتشات snl|خالد منصور|شادي الفونس|SNL 4 بالعربي|snl بالعربي|snl بالعربي 4|saturday night بالعربي|saturday night بالعربي 4|منة شلبي snl بالعربي|منة شلبي snl|منة شلبي|منه شلبي|Menna Shalaby|menna shalaby snl بالعربي|Menna Shalabi,506934,13222,1138,629,https://i.ytimg.com/vi/crUPsqRQaOo/default.jpg,False,MA,104
JcCFXRvr2A8,DJ Hamida feat. Sarah fraisou & Mani - Prishtina (clip officiel),2020-09-03T15:56:17Z,UC3bmcYcRQ3D4zrHVyzyqjjQ,DJHAMIDAOFFICIEL,10,20.09.09,DJ Hamida|sarah fraisou|mani|prishtina|albmp2020|berbere gang|frontières|cheb bello|soolking|tv realité|les anges|nrj 12|sam zirah|aya nakamura|jul|ninho|plk|heus lenfoiré|wejdene|eva queen|maroc|algérie|tunisie|albanie|dafina zeqiri|doria|kosovo|lartiste|ameera london|gims|nabilla|marwa loud|mytho|les marseillais|W9|NRJ 12,2843398,63355,4200,0,https://i.ytimg.com/vi/JcCFXRvr2A8/default.jpg,False,MA,105
hmPUUsGpM7Y,15 صفقة تمت رسمياً هذا الصيف | تشيلسي ويونايتد يضربان بقوة ورحيل ثنائي برشلونة وريال مدريد,2020-09-05T17:16:00Z,UCl8Ebc5pVSOIUxHJQfkIhhQ,عرب جول Arab Goal,17,20.09.09,أخبار كرة القدم|أخبار ريال مدريد|أخبار برشلونة|أخبار نادي برشلونة|أخبار نادي ريال مدريد|الدوري الإنجليزي|الدوري الإسباني|غرائب وعجائب كرة القدم|عرب جول|الكرة الأوروبية|الدوريات الأوروبية|ميسي ورونالدو|رونالدو وميسي|صفقات تمت رسميا|10 صفقات تمت رسمياً|15 صفقة تمت رسميا|15 صفقة|10 صفقات|صفقات|ميركاتو|الميركاتو|الانتقالات|الانتقالات الصيفية|برشلونة|ريال مدريد|صفقات برشلونة|صفقات ريال مدريد|فان دي بيك|ميلان|تشيلسي|تشلسي|صفقات تشيلسي|كاي هافيرتز,95022,3960,92,58,https://i.ytimg.com/vi/hmPUUsGpM7Y/default.jpg,False,MA,106
5rGohQfpCZI,هاذي الي تسلكني كي يكون معندي والو فدار نحضرها مع قهوة الصباح تجي تهبل,2020-09-05T07:35:23Z,UCaCKVaP12RvwCsp-xvY1lmg,وصفات أم رشيد,22,20.09.09,#videoshowapp made with @videoshowapp,446332,18063,713,1144,https://i.ytimg.com/vi/5rGohQfpCZI/default.jpg,False,MA,107
I3igok9jQIo,BTS – “Dynamite”  (Live) | Press Play,2020-09-04T01:00:11Z,UCq4isO8ZYOZfmvGJ-_1UdIA,Recording Academy / GRAMMYs,10,20.09.09,grammy awards|grammys|grammy|album of the year|record of the year|song of the year|grammys red carpet|grammy red carpet|2020 grammys|62nd grammys|unexpect everything,8124774,1220460,8926,46864,https://i.ytimg.com/vi/I3igok9jQIo/default.jpg,False,MA,108
2EjxIQXBhlc,Jackson Wang & Galantis - Pretty Please (Official Music Video),2020-09-04T04:00:09Z,UCJS0K01yC8BmQtSuRdqqo3w,Jackson Wang,10,20.09.09,jackson wang|mirrors|got7|bullet to the heart|papillon|dway!|titanic|88rising|head in the clouds|team wang|galantis|seafox|kinjaz|100 ways|pretty please|china|BTS|official video|music video|dance,7472035,927323,5659,65497,https://i.ytimg.com/vi/2EjxIQXBhlc/default.jpg,False,MA,109
