video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country,classementCountry
TXLTwzsFCH4,ALI471 - Hadi Gel [official Video] prod. by Juh-Dee,2020-09-03T22:00:10Z,UCVosYZwg3hpLrykbqBR15uA,ALI471,10,20.09.09,[none],535455,38869,939,3669,https://i.ytimg.com/vi/TXLTwzsFCH4/default.jpg,False,DE,108
mg4XEJjqeZQ,MrBeast Asked Me To Compete In His Next Challenge,2020-08-27T21:07:01Z,UCePxRBreVaMy_ontn4Vz2Yg,Zealous,24,20.09.09,Matthew Doyon|Zealous|MoreJStu Matthew|MoreJStu Matt|Zelus|Zelous|Matt Doyon|MrBeast|challenge|MrBeast 24 Hours|mrbeast would you rather|mrbeast riddle|mrbeast challenges|mrbeast last to leave|mrbeast challenge|mrbeast gaming|mrbeast finger on the app|mrbeast island|mrbeast lottery|mrbeast lottery ticket|mrbeast car|mrbeast would you rather have a lamborghini or this house|mrbeast last to take hand off|mrbeast lamborghini|mrbeast house|would you rather,975121,58864,1236,4135,https://i.ytimg.com/vi/mg4XEJjqeZQ/default.jpg,False,DE,109
wzSl87GgLEY,FERO & JOKER BRA - KaDeWe (prod. by Celik Lipa),2020-09-03T22:00:11Z,UCWhWflZHc3C1xILDx36Am8Q,FERO OFFICIAL,10,20.09.09,fero|capital bra|joker bra|fero joker bra|fero capital bra|kadewe|fero kadewe|capital bra kadewe|fero joker bra kadewe|2pac|self loyalty,911266,26093,4963,3210,https://i.ytimg.com/vi/wzSl87GgLEY/default.jpg,False,DE,110
_xl-4TeL9Mo,F95-Saisoneröffnung | Digitaler Kick-off mit Fortuna Düsseldorf vs. SC Paderborn 07,2020-09-05T15:16:01Z,UCQTvf-w4e_3XXIMd2LdDEdA,Fortuna Düsseldorf,17,20.09.09,[none],30858,468,19,13,https://i.ytimg.com/vi/_xl-4TeL9Mo/default.jpg,False,DE,111
O0IJqGlO8hs,dardan x monet192 ~ rush / gigi,2020-09-03T22:00:11Z,UCqv9TYpXUAo-Qy_tOPPSUYg,Hypnotize Entertainment,10,20.09.09,Dardan|Hypnotize Entertainment|dardy luther king|dlk|telefon|mister dardy|sorry|rap|hiphop|deutschrap|6am|coco mama|facetime|hypnotize|range rover|genauso|ice|Gigi|rush|rush hour|dardan Gigi|dardan rush|dardan rush hour|monet192 gigi|monet192 rush|monet 192 rush hour|dardan monet192 gigi rush,847565,28120,764,1552,https://i.ytimg.com/vi/O0IJqGlO8hs/default.jpg,False,DE,112
WR7uvJlwbic,RUKAN X AYSO - SCHICKSAL (OFFICIAL VIDEO),2020-09-03T22:00:09Z,UCVVVUH4vvKyHVX6hwzBxG4Q,AYRUKANTV,24,20.09.09,[none],518094,59627,11518,67198,https://i.ytimg.com/vi/WR7uvJlwbic/default.jpg,False,DE,113
_5r0HLoRnzs,"Tour de France, 9. Etappe: Marc Hirschi gewinnt die Herzen, aber nicht die Etappe | Sportschau",2020-09-06T16:09:25Z,UCRFsyeKu07-LnHDG44O6uCA,Sportschau,17,20.09.09,Sportschau|Tour de France|9. Etappe|Zusammenfassung|Marc Hirschi|Tadej Pogacar|Primoz Roglic,83764,1083,21,107,https://i.ytimg.com/vi/_5r0HLoRnzs/default.jpg,False,DE,114
s26c_BjLpEw,Bundesliga-Clubs in der Fahrschule,2020-09-04T12:00:12Z,UCkBoq9BF-2fIdU4qWeZ5ogg,WUMMS,17,20.09.09,Bundesliga|Clubs|Fahrschule|Führerschein|Prüfung|WUMMS|funk,273804,19003,207,402,https://i.ytimg.com/vi/s26c_BjLpEw/default.jpg,False,DE,115
-MDQlT6TaTM,Sero El Mero feat. Nimo - Late NighT $eX (Official Video),2020-09-03T22:00:12Z,UCca7UFS3r7gbocRdZCuyn5w,Sero El Mero 74,10,20.09.09,rapper|hiphop|rap|sero|el|mero|meros|deutschrap|seroelmero|meroqueens|late night sex|lns|latenightsex,355483,24228,2547,2415,https://i.ytimg.com/vi/-MDQlT6TaTM/default.jpg,False,DE,116
6y2IuoVGmD4,KALIM - DROPTOP (prod. by Bawer & Cemo),2020-09-03T21:59:48Z,UChsTXpJ12YRkmUDvXIf2Dtg,KALIM,10,20.09.09,Kalim|Hip Hop|Rap|Deutschrap|Universal URBAN|Alles oder nix,402300,27516,526,1042,https://i.ytimg.com/vi/6y2IuoVGmD4/default.jpg,False,DE,117
